Date,005930,373220,000660,207940,051910,006400,005935,005380,000270,035420
2022-04-29,67400,417000.0,112500,838000.0,519000.0,611000,59300,186000,83800,286500.0
2022-05-02,67300,408500.0,110500,838000.0,526000.0,611000,59600,187000,84400,281000.0
2022-05-03,67500,407500.0,110000,832000.0,517000.0,624000,60000,183500,83500,282000.0
2022-05-04,67900,401500.0,109500,815000.0,518000.0,612000,60600,184000,83500,282000.0
2022-05-06,66500,401500.0,107500,794000.0,520000.0,617000,59400,182500,83900,272000.0
2022-05-09,66100,394000.0,107500,798000.0,504000.0,591000,59100,181500,82600,275000.0
2022-05-10,65700,393500.0,110000,798000.0,501000.0,593000,58400,180500,84100,276000.0
2022-05-11,65700,391500.0,110500,793000.0,520000.0,584000,58200,183000,86100,279000.0
2022-05-12,64900,388000.0,109000,788000.0,485500.0,564000,57500,180500,86300,270000.0
2022-05-13,66500,400500.0,112500,785000.0,510000.0,589000,58200,186500,86300,274500.0
2022-05-16,66300,400500.0,110500,770000.0,507000.0,587000,58800,184000,85200,273500.0
2022-05-17,67600,408500.0,112500,766000.0,505000.0,591000,59900,185500,85200,275500.0
2022-05-18,68100,410000.0,113500,793000.0,512000.0,603000,60600,185500,84500,276500.0
2022-05-19,67500,415500.0,111000,796000.0,502000.0,591000,60100,182000,82100,271500.0
2022-05-20,68000,434000.0,112500,808000.0,545000.0,605000,60700,186500,83900,275000.0
2022-05-23,67900,438000.0,113000,819000.0,543000.0,611000,60100,188000,84200,277500.0
2022-05-24,66500,438500.0,108500,808000.0,539000.0,585000,59200,185000,83300,266000.0
2022-05-25,66400,426500.0,108000,831000.0,534000.0,588000,59800,183500,82600,266000.0
2022-05-26,65900,430500.0,103000,840000.0,534000.0,582000,59800,184000,82400,266000.0
2022-05-27,66500,430500.0,106000,834000.0,550000.0,590000,60100,185500,82900,270000.0
2022-05-30,67700,439500.0,107000,843000.0,557000.0,581000,60900,187500,83600,281000.0
2022-05-31,67400,444000.0,108000,847000.0,585000.0,575000,60700,189500,85700,288000.0
2022-06-02,66700,440500.0,107000,843000.0,570000.0,569000,60200,187500,85000,290000.0
2022-06-03,66800,437500.0,107000,852000.0,585000.0,569000,60200,187000,83500,287500.0
2022-06-07,65500,432000.0,104000,822000.0,556000.0,536000,59500,183500,83000,278000.0
2022-06-08,65300,425500.0,106000,828000.0,581000.0,547000,59100,183000,81800,278000.0
2022-06-09,65200,422500.0,105500,811000.0,589000.0,556000,59500,182500,82200,273000.0
2022-06-10,63800,425000.0,103500,811000.0,583000.0,560000,58500,184500,82400,270000.0
2022-06-13,62100,415000.0,99000,786000.0,562000.0,549000,57500,175000,79200,254000.0
2022-06-14,61900,426500.0,99100,784000.0,564000.0,531000,57200,171500,78000,253000.0
2022-06-15,60700,420000.0,97900,790000.0,561000.0,528000,55800,174000,78100,244500.0
2022-06-16,60900,427000.0,97400,807000.0,584000.0,549000,57500,173000,77200,240000.0
2022-06-17,59800,425500.0,96400,832000.0,578000.0,556000,55300,170000,76100,237500.0
2022-06-20,58700,411500.0,94500,822000.0,572000.0,559000,53600,170500,75500,234000.0
2022-06-21,58500,413000.0,95200,821000.0,568000.0,572000,53300,172500,77300,239500.0
2022-06-22,57600,401000.0,92200,817000.0,553000.0,537000,53000,171500,76400,229000.0
2022-06-23,57400,400000.0,90200,820000.0,551000.0,533000,52100,171000,77200,234000.0
2022-06-24,58400,405000.0,91600,831000.0,543000.0,550000,53400,173000,77500,247500.0
2022-06-27,58800,412000.0,95000,806000.0,545000.0,569000,54500,183000,80900,249000.0
2022-06-28,59400,410500.0,95300,815000.0,570000.0,581000,54700,186000,81900,252500.0
2022-06-29,58000,391500.0,94000,801000.0,530000.0,570000,53400,175500,76900,246500.0
2022-06-30,57000,371000.0,91000,790000.0,516000.0,532000,52000,180500,77300,240000.0
2022-07-01,56200,356500.0,87500,781000.0,509000.0,512000,51500,180000,78000,237000.0
2022-07-04,57100,356000.0,89100,791000.0,500000.0,506000,52000,178000,78500,235000.0
2022-07-05,57200,361500.0,92500,805000.0,512000.0,536000,52200,177500,78400,243000.0
2022-07-06,56400,370500.0,92100,800000.0,506000.0,522000,51900,172500,75400,243500.0
2022-07-07,58200,373500.0,93900,817000.0,524000.0,541000,53500,175000,75700,245000.0
2022-07-08,58700,388000.0,94800,819000.0,540000.0,537000,53900,178000,76800,249000.0
2022-07-11,58800,395000.0,93700,829000.0,522000.0,527000,54200,179000,78000,240500.0
2022-07-12,58100,401000.0,93300,834000.0,514000.0,528000,52900,179000,78700,233500.0
2022-07-13,58000,400000.0,94000,832000.0,517000.0,528000,52600,183500,79800,237500.0
2022-07-14,57500,399500.0,94000,825000.0,530000.0,541000,53500,182500,78800,233500.0
2022-07-15,60000,400000.0,98700,817000.0,512000.0,548000,54700,183500,79100,231000.0
2022-07-18,61900,393000.0,101000,810000.0,515000.0,546000,57000,185500,80100,246500.0
2022-07-19,60900,383000.0,100000,819000.0,521000.0,545000,56300,188500,82100,243500.0
2022-07-20,60500,384000.0,102000,823000.0,540000.0,559000,56200,189000,81600,246000.0
2022-07-21,61800,390500.0,102500,817000.0,569000.0,567000,56700,189000,82000,250500.0
